Nederlands;Deutsch;Englisch;Type;Comment
Blok, het;Der Würfel;;N;
roeren;rühren;;V;Roer de soep met een houten lepel
File, de;Der Stau;;N;Door de file hebben we 3 uur vertraging.
vertellen;erzählen;;V;Opa heft me verteld
Verhalen, de ;Die Geschichten;;N;
allemaal;Alles;;B;Dat zijn allemaal vertalen van vroeger
Schijnen;scheinen;;V;De zon heeft geschenen
lukken;Gelingen;;V;De taart is goed gelukt
Geweld, de;Die gewalt;;N;De politie gebruik geen geweld.
Band, de;Der Reifen;;N;
klappen;platzen;;V;De band is geklapt
Vertel eens over vroeger;Erzähl mal von früher;;R;
Nou en of;Na und ob!;;R;
Kijk;"Guck mal, …; look, …";;R;Kijk, dat heb je me nooit verteld
uiterlijk;Spätestens;;B;
slinken;abnehmen / schwinden / schrumpfen;;V;De aanbot slinkt
aanjagen;Antreiben;;V;De paars aanjagen / De grote aanjager van de verkoophausse is de rijksoverheid.
gezin, de;Die Familie;;N;Een gezin stichten (gründen)
raam, het;Das Fenster;The window;N;Het raam en de ramen
reuring, de;Der Trubel, die Aufregung;;N;
onderwerp, het;Das Thema, Subjekt;;N;Het onderwerp van de dag (tagesgespräch)
Paal, de;Der Pfahl;;N;Met de auto tegen een paaltje rijden
Missen; Verpassen;;V;We hebben onze vloeg gemist
Die wereldberoemde zanger is altijd heel gewoon gebleven;Der weltberühmte Sänger immer auf dem Boden geblieben;;R;
Urenlang;Stundenlang;;B;De honden hebben urenlang over het strand gerend
Dreigend;Drohend;;B;Het dreigende stroominfarct in Amsterdam
vechtpartij, de;Die Schlägerei;;N;
op te knappen;Renovieren;To renovate ;V;
voorspellen;Vorhersagen;To predict;V;
geval, het;Der Fall;Case;N;Meer dan honderden gevallen 
Verre van;Bei Weitem nicht;;R;Het gebruik van biomassa uit bossen is verre van duurzam
tegen (zijn);Dagegen (sein);;B;Ik ben tegen thuiswerk. 
verward;Verwirrt;Confused;A;Een verwarde mens
stortbui, de;Der Platzregen;;N;
vernielen;Zerstören;Destroy;V;
haten;Hassen;To hate;V;
Bestuurder, de;Der Fahrer;Driver;N;De bestuurder van een scooter
bepalend;Bestimmend, entscheidend;;B;De uitslaag is bepalend voor mijn loopbaan
Zij zijn er een jaar geleden mee gestopt.;Sie haben vor einem Jahr damit aufgehört.;;R;
verdwijnen;verschwinden;;V;
verrassing, de;Die Überraschung;;N;Het cadeau was echt een verrassing
muziek, de;Die Musik;;N;
blijven;Bleiben;;V;"gebleven; gisteren zijn we de hele dag thuis gebleven"
lopen;Gehen, laufen;;V;gelopen
rennen;Rennen;;V;gerend
rijden;Auto fahren;;V;"gereden; Mijn dochter heeft nog niet veel in haar nieuwe auto gereden"
varen;Auf dem Wasser fahren;;V;gevaren
Piloot, de;Der Pilot;;N;Als piloot is hij al drie keer naar Aruba gevlogen
Urenlang;stundenlang;;B;Urenlang over het strand rennen
vrolijk;Fröhlich;;A;Jij bent vrolijk vandaag
Hij is niet thuis;Er ist nicht zuhause;;R;
Zijn zij al klaar;Sind sie schon fertig?;;R;
klaar;Fertig;;B;
leeftijd, de;Das Alter;;N;
vanwege;Wegen, aufgrund ;;B;Vanwege de files is mijn opa met de trein gekomen
Lekke band;Platter Reifen;;R;Een lekke band hebben
onderweg;Unterwegs;;B;
Met de bus of trein gaan;Mit dem Bus oder dem Zug fahren;;R;
Ik ben al jaren niet in het buitenland geweest;Ich bin schon (seit) Jahren nicht mehr im Ausland gewesen;;R;
voor het laatst;Das letzte Mal;;R;Wanneer ben je voor het laatst in het buitenland geweest?
gebeuren;Statt finden, passieren;;V;Is er nog iets gebeurd toen ik op vakantie was?
Klinkt goed;Klingt gut!;;R;
Op de hond letten;Auf den Hund aufpassen;;R;
Geschreiden zijn;Geschieden sein;;R;
